date,region,age.grp,n
2020-02-17,East_of_England,<1yr,0
2020-02-17,East_of_England,1-4,0
2020-02-17,East_of_England,5-14,0
2020-02-17,East_of_England,15-24,0
2020-02-17,East_of_England,25-44,0
2020-02-17,East_of_England,45-64,0
2020-02-17,East_of_England,65-74,0
2020-02-17,East_of_England,75+,0
2020-02-17,East_Midlands,<1yr,0
2020-02-17,East_Midlands,1-4,0
2020-02-17,East_Midlands,5-14,0
2020-02-17,East_Midlands,15-24,0
2020-02-17,East_Midlands,25-44,0
2020-02-17,East_Midlands,45-64,0
2020-02-17,East_Midlands,65-74,0
2020-02-17,East_Midlands,75+,0
2020-02-17,London,<1yr,0
2020-02-17,London,1-4,0
2020-02-17,London,5-14,0
2020-02-17,London,15-24,0
2020-02-17,London,25-44,0
2020-02-17,London,45-64,0
2020-02-17,London,65-74,0
2020-02-17,London,75+,0
2020-02-17,North_East,<1yr,0
2020-02-17,North_East,1-4,0
2020-02-17,North_East,5-14,0
2020-02-17,North_East,15-24,0
2020-02-17,North_East,25-44,0
2020-02-17,North_East,45-64,0
2020-02-17,North_East,65-74,0
2020-02-17,North_East,75+,0
2020-02-17,North_West,<1yr,0
2020-02-17,North_West,1-4,0
2020-02-17,North_West,5-14,0
2020-02-17,North_West,15-24,0
2020-02-17,North_West,25-44,0
2020-02-17,North_West,45-64,0
2020-02-17,North_West,65-74,0
2020-02-17,North_West,75+,0
2020-02-17,South_East,<1yr,0
2020-02-17,South_East,1-4,0
2020-02-17,South_East,5-14,0
2020-02-17,South_East,15-24,0
2020-02-17,South_East,25-44,0
2020-02-17,South_East,45-64,0
2020-02-17,South_East,65-74,0
2020-02-17,South_East,75+,0
2020-02-17,South_West,<1yr,0
2020-02-17,South_West,1-4,0
2020-02-17,South_West,5-14,0
2020-02-17,South_West,15-24,0
2020-02-17,South_West,25-44,0
2020-02-17,South_West,45-64,0
2020-02-17,South_West,65-74,0
2020-02-17,South_West,75+,0
2020-02-17,West_Midlands,<1yr,0
2020-02-17,West_Midlands,1-4,0
2020-02-17,West_Midlands,5-14,0
2020-02-17,West_Midlands,15-24,0
2020-02-17,West_Midlands,25-44,0
2020-02-17,West_Midlands,45-64,0
2020-02-17,West_Midlands,65-74,0
