age,region,day,lmean,lsd,sample_date,N
1-4,Yorkshire_and_The_Humber,75,0,0,2020-05-01,503965.09670831857
5-14,Yorkshire_and_The_Humber,75,0,0,2020-05-01,145920.59651659982
15-24,Yorkshire_and_The_Humber,75,0,0,2020-05-01,1074440.3460863144
25-44,Yorkshire_and_The_Humber,75,0,0,2020-05-01,1109373.4794161317
45-64,Yorkshire_and_The_Humber,75,0,0,2020-05-01,510799.2358996739
65-74,Yorkshire_and_The_Humber,75,0,0,2020-05-01,451306.1702025497
75+,Yorkshire_and_The_Humber,75,0,0,2020-05-01,366510.79003192694
1-4,Yorkshire_and_The_Humber,76,0,0,2020-05-02,503965.09670831857
5-14,Yorkshire_and_The_Humber,76,0,0,2020-05-02,145920.59651659982
15-24,Yorkshire_and_The_Humber,76,0,0,2020-05-02,1074440.3460863144
25-44,Yorkshire_and_The_Humber,76,0,0,2020-05-02,1109373.4794161317
45-64,Yorkshire_and_The_Humber,76,0,0,2020-05-02,510799.2358996739
65-74,Yorkshire_and_The_Humber,76,0,0,2020-05-02,451306.1702025497
75+,Yorkshire_and_The_Humber,76,0,0,2020-05-02,366510.79003192694
1-4,Yorkshire_and_The_Humber,77,0,0,2020-05-03,503965.09670831857
5-14,Yorkshire_and_The_Humber,77,0,0,2020-05-03,145920.59651659982
15-24,Yorkshire_and_The_Humber,77,0,0,2020-05-03,1074440.3460863144
25-44,Yorkshire_and_The_Humber,77,0,0,2020-05-03,1109373.4794161317
45-64,Yorkshire_and_The_Humber,77,0,0,2020-05-03,510799.2358996739
65-74,Yorkshire_and_The_Humber,77,0,0,2020-05-03,451306.1702025497
75+,Yorkshire_and_The_Humber,77,0,0,2020-05-03,366510.79003192694
1-4,Yorkshire_and_The_Humber,78,0,0,2020-05-04,503965.09670831857
5-14,Yorkshire_and_The_Humber,78,0,0,2020-05-04,145920.59651659982
15-24,Yorkshire_and_The_Humber,78,0,0,2020-05-04,1074440.3460863144
25-44,Yorkshire_and_The_Humber,78,0,0,2020-05-04,1109373.4794161317
45-64,Yorkshire_and_The_Humber,78,0,0,2020-05-04,510799.2358996739
65-74,Yorkshire_and_The_Humber,78,0,0,2020-05-04,451306.1702025497
75+,Yorkshire_and_The_Humber,78,0,0,2020-05-04,366510.79003192694
1-4,Yorkshire_and_The_Humber,79,0,0,2020-05-05,503965.09670831857
5-14,Yorkshire_and_The_Humber,79,0,0,2020-05-05,145920.59651659982
15-24,Yorkshire_and_The_Humber,79,0,0,2020-05-05,1074440.3460863144
25-44,Yorkshire_and_The_Humber,79,0,0,2020-05-05,1109373.4794161317
45-64,Yorkshire_and_The_Humber,79,0,0,2020-05-05,510799.2358996739
65-74,Yorkshire_and_The_Humber,79,0,0,2020-05-05,451306.1702025497
75+,Yorkshire_and_The_Humber,79,0,0,2020-05-05,366510.79003192694
1-4,Yorkshire_and_The_Humber,80,0,0,2020-05-06,503965.09670831857
5-14,Yorkshire_and_The_Humber,80,7.639351926598533,0.8194588823059847,2020-05-06,145920.59651659982
15-24,Yorkshire_and_The_Humber,80,9.13267159203423,0.6050280716634154,2020-05-06,1074440.3460863144
25-44,Yorkshire_and_The_Humber,80,8.520839520341081,0.608150379455756,2020-05-06,1109373.4794161317
45-64,Yorkshire_and_The_Humber,80,8.218471867386095,0.6789547416631118,2020-05-06,510799.2358996739
65-74,Yorkshire_and_The_Humber,80,7.594296257795615,0.5351511179315274,2020-05-06,451306.1702025497
75+,Yorkshire_and_The_Humber,80,8.841934454179235,0.5580787804671762,2020-05-06,366510.79003192694
1-4,Yorkshire_and_The_Humber,81,0,0,2020-05-07,503965.09670831857
5-14,Yorkshire_and_The_Humber,81,0,0,2020-05-07,145920.59651659982
15-24,Yorkshire_and_The_Humber,81,0,0,2020-05-07,1074440.3460863144
25-44,Yorkshire_and_The_Humber,81,0,0,2020-05-07,1109373.4794161317
45-64,Yorkshire_and_The_Humber,81,0,0,2020-05-07,510799.2358996739
65-74,Yorkshire_and_The_Humber,81,0,0,2020-05-07,451306.1702025497
75+,Yorkshire_and_The_Humber,81,0,0,2020-05-07,366510.79003192694
1-4,Yorkshire_and_The_Humber,82,0,0,2020-05-08,503965.09670831857
5-14,Yorkshire_and_The_Humber,82,0,0,2020-05-08,145920.59651659982
15-24,Yorkshire_and_The_Humber,82,0,0,2020-05-08,1074440.3460863144
25-44,Yorkshire_and_The_Humber,82,0,0,2020-05-08,1109373.4794161317
45-64,Yorkshire_and_The_Humber,82,0,0,2020-05-08,510799.2358996739
65-74,Yorkshire_and_The_Humber,82,0,0,2020-05-08,451306.1702025497
75+,Yorkshire_and_The_Humber,82,0,0,2020-05-08,366510.79003192694
1-4,Yorkshire_and_The_Humber,83,0,0,2020-05-09,503965.09670831857
5-14,Yorkshire_and_The_Humber,83,0,0,2020-05-09,145920.59651659982
15-24,Yorkshire_and_The_Humber,83,0,0,2020-05-09,1074440.3460863144
25-44,Yorkshire_and_The_Humber,83,0,0,2020-05-09,1109373.4794161317
45-64,Yorkshire_and_The_Humber,83,0,0,2020-05-09,510799.2358996739
65-74,Yorkshire_and_The_Humber,83,0,0,2020-05-09,451306.1702025497
75+,Yorkshire_and_The_Humber,83,0,0,2020-05-09,366510.79003192694
1-4,Yorkshire_and_The_Humber,84,0,0,2020-05-10,503965.09670831857
5-14,Yorkshire_and_The_Humber,84,0,0,2020-05-10,145920.59651659982
15-24,Yorkshire_and_The_Humber,84,0,0,2020-05-10,1074440.3460863144
25-44,Yorkshire_and_The_Humber,84,0,0,2020-05-10,1109373.4794161317
45-64,Yorkshire_and_The_Humber,84,0,0,2020-05-10,510799.2358996739
65-74,Yorkshire_and_The_Humber,84,0,0,2020-05-10,451306.1702025497
75+,Yorkshire_and_The_Humber,84,0,0,2020-05-10,366510.79003192694
1-4,Yorkshire_and_The_Humber,85,0,0,2020-05-11,503965.09670831857
5-14,Yorkshire_and_The_Humber,85,0,0,2020-05-11,145920.59651659982
15-24,Yorkshire_and_The_Humber,85,0,0,2020-05-11,1074440.3460863144
25-44,Yorkshire_and_The_Humber,85,0,0,2020-05-11,1109373.4794161317
45-64,Yorkshire_and_The_Humber,85,0,0,2020-05-11,510799.2358996739
65-74,Yorkshire_and_The_Humber,85,0,0,2020-05-11,451306.1702025497
75+,Yorkshire_and_The_Humber,85,0,0,2020-05-11,366510.79003192694
1-4,Yorkshire_and_The_Humber,86,0,0,2020-05-12,503965.09670831857
5-14,Yorkshire_and_The_Humber,86,0,0,2020-05-12,145920.59651659982
15-24,Yorkshire_and_The_Humber,86,0,0,2020-05-12,1074440.3460863144
25-44,Yorkshire_and_The_Humber,86,0,0,2020-05-12,1109373.4794161317
45-64,Yorkshire_and_The_Humber,86,0,0,2020-05-12,510799.2358996739
65-74,Yorkshire_and_The_Humber,86,0,0,2020-05-12,451306.1702025497
75+,Yorkshire_and_The_Humber,86,0,0,2020-05-12,366510.79003192694
1-4,Yorkshire_and_The_Humber,87,0,0,2020-05-13,503965.09670831857
5-14,Yorkshire_and_The_Humber,87,7.535655123975262,0.6712833543263159,2020-05-13,145920.59651659982
15-24,Yorkshire_and_The_Humber,87,8.893071832642425,0.51731271487286,2020-05-13,1074440.3460863144
25-44,Yorkshire_and_The_Humber,87,8.34426657132976,0.5201172510761009,2020-05-13,1109373.4794161317
45-64,Yorkshire_and_The_Humber,87,8.012197213694915,0.5712992542340306,2020-05-13,510799.2358996739
65-74,Yorkshire_and_The_Humber,87,7.473342127625318,0.40523723029939385,2020-05-13,451306.1702025497
75+,Yorkshire_and_The_Humber,87,8.584188961035041,0.4426633663006957,2020-05-13,366510.79003192694
1-4,Yorkshire_and_The_Humber,88,0,0,2020-05-14,503965.09670831857
5-14,Yorkshire_and_The_Humber,88,0,0,2020-05-14,145920.59651659982
15-24,Yorkshire_and_The_Humber,88,0,0,2020-05-14,1074440.3460863144
25-44,Yorkshire_and_The_Humber,88,0,0,2020-05-14,1109373.4794161317
45-64,Yorkshire_and_The_Humber,88,0,0,2020-05-14,510799.2358996739
65-74,Yorkshire_and_The_Humber,88,0,0,2020-05-14,451306.1702025497
75+,Yorkshire_and_The_Humber,88,0,0,2020-05-14,366510.79003192694
1-4,Yorkshire_and_The_Humber,89,0,0,2020-05-15,503965.09670831857
5-14,Yorkshire_and_The_Humber,89,0,0,2020-05-15,145920.59651659982
15-24,Yorkshire_and_The_Humber,89,0,0,2020-05-15,1074440.3460863144
25-44,Yorkshire_and_The_Humber,89,0,0,2020-05-15,1109373.4794161317
45-64,Yorkshire_and_The_Humber,89,0,0,2020-05-15,510799.2358996739
65-74,Yorkshire_and_The_Humber,89,0,0,2020-05-15,451306.1702025497
75+,Yorkshire_and_The_Humber,89,0,0,2020-05-15,366510.79003192694
1-4,Yorkshire_and_The_Humber,90,0,0,2020-05-16,503965.09670831857
5-14,Yorkshire_and_The_Humber,90,0,0,2020-05-16,145920.59651659982
15-24,Yorkshire_and_The_Humber,90,0,0,2020-05-16,1074440.3460863144
25-44,Yorkshire_and_The_Humber,90,0,0,2020-05-16,1109373.4794161317
45-64,Yorkshire_and_The_Humber,90,0,0,2020-05-16,510799.2358996739
65-74,Yorkshire_and_The_Humber,90,0,0,2020-05-16,451306.1702025497
75+,Yorkshire_and_The_Humber,90,0,0,2020-05-16,366510.79003192694
1-4,Yorkshire_and_The_Humber,91,0,0,2020-05-17,503965.09670831857
5-14,Yorkshire_and_The_Humber,91,0,0,2020-05-17,145920.59651659982
15-24,Yorkshire_and_The_Humber,91,0,0,2020-05-17,1074440.3460863144
25-44,Yorkshire_and_The_Humber,91,0,0,2020-05-17,1109373.4794161317
45-64,Yorkshire_and_The_Humber,91,0,0,2020-05-17,510799.2358996739
65-74,Yorkshire_and_The_Humber,91,0,0,2020-05-17,451306.1702025497
75+,Yorkshire_and_The_Humber,91,0,0,2020-05-17,366510.79003192694
1-4,Yorkshire_and_The_Humber,92,0,0,2020-05-18,503965.09670831857
5-14,Yorkshire_and_The_Humber,92,0,0,2020-05-18,145920.59651659982
15-24,Yorkshire_and_The_Humber,92,0,0,2020-05-18,1074440.3460863144
25-44,Yorkshire_and_The_Humber,92,0,0,2020-05-18,1109373.4794161317
45-64,Yorkshire_and_The_Humber,92,0,0,2020-05-18,510799.2358996739
65-74,Yorkshire_and_The_Humber,92,0,0,2020-05-18,451306.1702025497
75+,Yorkshire_and_The_Humber,92,0,0,2020-05-18,366510.79003192694
1-4,Yorkshire_and_The_Humber,93,0,0,2020-05-19,503965.09670831857
5-14,Yorkshire_and_The_Humber,93,0,0,2020-05-19,145920.59651659982
15-24,Yorkshire_and_The_Humber,93,0,0,2020-05-19,1074440.3460863144
25-44,Yorkshire_and_The_Humber,93,0,0,2020-05-19,1109373.4794161317
45-64,Yorkshire_and_The_Humber,93,0,0,2020-05-19,510799.2358996739
65-74,Yorkshire_and_The_Humber,93,0,0,2020-05-19,451306.1702025497
75+,Yorkshire_and_The_Humber,93,0,0,2020-05-19,366510.79003192694
1-4,Yorkshire_and_The_Humber,94,0,0,2020-05-20,503965.09670831857
5-14,Yorkshire_and_The_Humber,94,7.440073723356956,0.5889969370213667,2020-05-20,145920.59651659982
15-24,Yorkshire_and_The_Humber,94,8.666458057677294,0.487403439346954,2020-05-20,1074440.3460863144
25-44,Yorkshire_and_The_Humber,94,8.206081622510228,0.4879738571162292,2020-05-20,1109373.4794161317
45-64,Yorkshire_and_The_Humber,94,7.8227713521888065,0.5259368775203632,2020-05-20,510799.2358996739
65-74,Yorkshire_and_The_Humber,94,7.360481636253185,0.3492411857981437,2020-05-20,451306.1702025497
75+,Yorkshire_and_The_Humber,94,8.340834018063317,0.3928360505788656,2020-05-20,366510.79003192694
1-4,Yorkshire_and_The_Humber,95,0,0,2020-05-21,503965.09670831857
5-14,Yorkshire_and_The_Humber,95,0,0,2020-05-21,145920.59651659982
15-24,Yorkshire_and_The_Humber,95,0,0,2020-05-21,1074440.3460863144
25-44,Yorkshire_and_The_Humber,95,0,0,2020-05-21,1109373.4794161317
45-64,Yorkshire_and_The_Humber,95,0,0,2020-05-21,510799.2358996739
65-74,Yorkshire_and_The_Humber,95,0,0,2020-05-21,451306.1702025497
75+,Yorkshire_and_The_Humber,95,0,0,2020-05-21,366510.79003192694
1-4,Yorkshire_and_The_Humber,96,0,0,2020-05-22,503965.09670831857
5-14,Yorkshire_and_The_Humber,96,0,0,2020-05-22,145920.59651659982
15-24,Yorkshire_and_The_Humber,96,0,0,2020-05-22,1074440.3460863144
25-44,Yorkshire_and_The_Humber,96,0,0,2020-05-22,1109373.4794161317
45-64,Yorkshire_and_The_Humber,96,0,0,2020-05-22,510799.2358996739
65-74,Yorkshire_and_The_Humber,96,0,0,2020-05-22,451306.1702025497
75+,Yorkshire_and_The_Humber,96,0,0,2020-05-22,366510.79003192694
1-4,Yorkshire_and_The_Humber,97,0,0,2020-05-23,503965.09670831857
5-14,Yorkshire_and_The_Humber,97,0,0,2020-05-23,145920.59651659982
15-24,Yorkshire_and_The_Humber,97,0,0,2020-05-23,1074440.3460863144
25-44,Yorkshire_and_The_Humber,97,0,0,2020-05-23,1109373.4794161317
45-64,Yorkshire_and_The_Humber,97,0,0,2020-05-23,510799.2358996739
65-74,Yorkshire_and_The_Humber,97,0,0,2020-05-23,451306.1702025497
75+,Yorkshire_and_The_Humber,97,0,0,2020-05-23,366510.79003192694
1-4,Yorkshire_and_The_Humber,98,0,0,2020-05-24,503965.09670831857
5-14,Yorkshire_and_The_Humber,98,0,0,2020-05-24,145920.59651659982
15-24,Yorkshire_and_The_Humber,98,0,0,2020-05-24,1074440.3460863144
25-44,Yorkshire_and_The_Humber,98,0,0,2020-05-24,1109373.4794161317
45-64,Yorkshire_and_The_Humber,98,0,0,2020-05-24,510799.2358996739
65-74,Yorkshire_and_The_Humber,98,0,0,2020-05-24,451306.1702025497
75+,Yorkshire_and_The_Humber,98,0,0,2020-05-24,366510.79003192694
1-4,Yorkshire_and_The_Humber,99,0,0,2020-05-25,503965.09670831857
5-14,Yorkshire_and_The_Humber,99,0,0,2020-05-25,145920.59651659982
15-24,Yorkshire_and_The_Humber,99,0,0,2020-05-25,1074440.3460863144
25-44,Yorkshire_and_The_Humber,99,0,0,2020-05-25,1109373.4794161317
45-64,Yorkshire_and_The_Humber,99,0,0,2020-05-25,510799.2358996739
65-74,Yorkshire_and_The_Humber,99,0,0,2020-05-25,451306.1702025497
75+,Yorkshire_and_The_Humber,99,0,0,2020-05-25,366510.79003192694
1-4,Yorkshire_and_The_Humber,100,0,0,2020-05-26,503965.09670831857
5-14,Yorkshire_and_The_Humber,100,0,0,2020-05-26,145920.59651659982
15-24,Yorkshire_and_The_Humber,100,0,0,2020-05-26,1074440.3460863144
25-44,Yorkshire_and_The_Humber,100,0,0,2020-05-26,1109373.4794161317
45-64,Yorkshire_and_The_Humber,100,0,0,2020-05-26,510799.2358996739
65-74,Yorkshire_and_The_Humber,100,0,0,2020-05-26,451306.1702025497
75+,Yorkshire_and_The_Humber,100,0,0,2020-05-26,366510.79003192694
1-4,Yorkshire_and_The_Humber,101,0,0,2020-05-27,503965.09670831857
5-14,Yorkshire_and_The_Humber,101,7.372755965687405,0.5507757330178397,2020-05-27,145920.59651659982
15-24,Yorkshire_and_The_Humber,101,8.477365297419116,0.48885327568519066,2020-05-27,1074440.3460863144
25-44,Yorkshire_and_The_Humber,101,8.106552751776496,0.47839234753563686,2020-05-27,1109373.4794161317
45-64,Yorkshire_and_The_Humber,101,7.669628779140687,0.5109613613878382,2020-05-27,510799.2358996739
65-74,Yorkshire_and_The_Humber,101,7.271182619946091,0.33776092057429175,2020-05-27,451306.1702025497
75+,Yorkshire_and_The_Humber,101,8.118563708247912,0.3795758622979832,2020-05-27,366510.79003192694
1-4,Yorkshire_and_The_Humber,102,0,0,2020-05-28,503965.09670831857
5-14,Yorkshire_and_The_Humber,102,0,0,2020-05-28,145920.59651659982
15-24,Yorkshire_and_The_Humber,102,0,0,2020-05-28,1074440.3460863144
25-44,Yorkshire_and_The_Humber,102,0,0,2020-05-28,1109373.4794161317
45-64,Yorkshire_and_The_Humber,102,0,0,2020-05-28,510799.2358996739
65-74,Yorkshire_and_The_Humber,102,0,0,2020-05-28,451306.1702025497
75+,Yorkshire_and_The_Humber,102,0,0,2020-05-28,366510.79003192694
1-4,Yorkshire_and_The_Humber,103,0,0,2020-05-29,503965.09670831857
5-14,Yorkshire_and_The_Humber,103,0,0,2020-05-29,145920.59651659982
15-24,Yorkshire_and_The_Humber,103,0,0,2020-05-29,1074440.3460863144
25-44,Yorkshire_and_The_Humber,103,0,0,2020-05-29,1109373.4794161317
45-64,Yorkshire_and_The_Humber,103,0,0,2020-05-29,510799.2358996739
65-74,Yorkshire_and_The_Humber,103,0,0,2020-05-29,451306.1702025497
75+,Yorkshire_and_The_Humber,103,0,0,2020-05-29,366510.79003192694
1-4,Yorkshire_and_The_Humber,104,0,0,2020-05-30,503965.09670831857
5-14,Yorkshire_and_The_Humber,104,0,0,2020-05-30,145920.59651659982
15-24,Yorkshire_and_The_Humber,104,0,0,2020-05-30,1074440.3460863144
25-44,Yorkshire_and_The_Humber,104,0,0,2020-05-30,1109373.4794161317
45-64,Yorkshire_and_The_Humber,104,0,0,2020-05-30,510799.2358996739
65-74,Yorkshire_and_The_Humber,104,0,0,2020-05-30,451306.1702025497
75+,Yorkshire_and_The_Humber,104,0,0,2020-05-30,366510.79003192694
1-4,Yorkshire_and_The_Humber,105,0,0,2020-05-31,503965.09670831857
5-14,Yorkshire_and_The_Humber,105,0,0,2020-05-31,145920.59651659982
15-24,Yorkshire_and_The_Humber,105,0,0,2020-05-31,1074440.3460863144
25-44,Yorkshire_and_The_Humber,105,0,0,2020-05-31,1109373.4794161317
45-64,Yorkshire_and_The_Humber,105,0,0,2020-05-31,510799.2358996739
65-74,Yorkshire_and_The_Humber,105,0,0,2020-05-31,451306.1702025497
75+,Yorkshire_and_The_Humber,105,0,0,2020-05-31,366510.79003192694
1-4,Yorkshire_and_The_Humber,106,0,0,2020-06-01,503965.09670831857
5-14,Yorkshire_and_The_Humber,106,0,0,2020-06-01,145920.59651659982
15-24,Yorkshire_and_The_Humber,106,0,0,2020-06-01,1074440.3460863144
25-44,Yorkshire_and_The_Humber,106,0,0,2020-06-01,1109373.4794161317
45-64,Yorkshire_and_The_Humber,106,0,0,2020-06-01,510799.2358996739
65-74,Yorkshire_and_The_Humber,106,0,0,2020-06-01,451306.1702025497
75+,Yorkshire_and_The_Humber,106,0,0,2020-06-01,366510.79003192694
1-4,Yorkshire_and_The_Humber,107,0,0,2020-06-02,503965.09670831857
5-14,Yorkshire_and_The_Humber,107,0,0,2020-06-02,145920.59651659982
15-24,Yorkshire_and_The_Humber,107,0,0,2020-06-02,1074440.3460863144
25-44,Yorkshire_and_The_Humber,107,0,0,2020-06-02,1109373.4794161317
45-64,Yorkshire_and_The_Humber,107,0,0,2020-06-02,510799.2358996739
65-74,Yorkshire_and_The_Humber,107,0,0,2020-06-02,451306.1702025497
75+,Yorkshire_and_The_Humber,107,0,0,2020-06-02,366510.79003192694
1-4,Yorkshire_and_The_Humber,108,0,0,2020-06-03,503965.09670831857
5-14,Yorkshire_and_The_Humber,108,7.334571328855413,0.5366919545017786,2020-06-03,145920.59651659982
15-24,Yorkshire_and_The_Humber,108,8.33502481039294,0.4968888794002057,2020-06-03,1074440.3460863144
25-44,Yorkshire_and_The_Humber,108,8.034817811373689,0.4767895179223546,2020-06-03,1109373.4794161317
45-64,Yorkshire_and_The_Humber,108,7.557581426029904,0.5102506889666748,2020-06-03,510799.2358996739
65-74,Yorkshire_and_The_Humber,108,7.206378854156426,0.33906735598288157,2020-06-03,451306.1702025497
75+,Yorkshire_and_The_Humber,108,7.912617069421326,0.37486376382476044,2020-06-03,366510.79003192694
1-4,Yorkshire_and_The_Humber,109,0,0,2020-06-04,503965.09670831857
5-14,Yorkshire_and_The_Humber,109,0,0,2020-06-04,145920.59651659982
15-24,Yorkshire_and_The_Humber,109,0,0,2020-06-04,1074440.3460863144
25-44,Yorkshire_and_The_Humber,109,0,0,2020-06-04,1109373.4794161317
45-64,Yorkshire_and_The_Humber,109,0,0,2020-06-04,510799.2358996739
65-74,Yorkshire_and_The_Humber,109,0,0,2020-06-04,451306.1702025497
75+,Yorkshire_and_The_Humber,109,0,0,2020-06-04,366510.79003192694
1-4,Yorkshire_and_The_Humber,110,0,0,2020-06-05,503965.09670831857
5-14,Yorkshire_and_The_Humber,110,0,0,2020-06-05,145920.59651659982
15-24,Yorkshire_and_The_Humber,110,0,0,2020-06-05,1074440.3460863144
25-44,Yorkshire_and_The_Humber,110,0,0,2020-06-05,1109373.4794161317
45-64,Yorkshire_and_The_Humber,110,0,0,2020-06-05,510799.2358996739
65-74,Yorkshire_and_The_Humber,110,0,0,2020-06-05,451306.1702025497
75+,Yorkshire_and_The_Humber,110,0,0,2020-06-05,366510.79003192694
1-4,Yorkshire_and_The_Humber,111,0,0,2020-06-06,503965.09670831857
5-14,Yorkshire_and_The_Humber,111,0,0,2020-06-06,145920.59651659982
15-24,Yorkshire_and_The_Humber,111,0,0,2020-06-06,1074440.3460863144
25-44,Yorkshire_and_The_Humber,111,0,0,2020-06-06,1109373.4794161317
45-64,Yorkshire_and_The_Humber,111,0,0,2020-06-06,510799.2358996739
65-74,Yorkshire_and_The_Humber,111,0,0,2020-06-06,451306.1702025497
75+,Yorkshire_and_The_Humber,111,0,0,2020-06-06,366510.79003192694
1-4,Yorkshire_and_The_Humber,112,0,0,2020-06-07,503965.09670831857
5-14,Yorkshire_and_The_Humber,112,0,0,2020-06-07,145920.59651659982
15-24,Yorkshire_and_The_Humber,112,0,0,2020-06-07,1074440.3460863144
25-44,Yorkshire_and_The_Humber,112,0,0,2020-06-07,1109373.4794161317
45-64,Yorkshire_and_The_Humber,112,0,0,2020-06-07,510799.2358996739
65-74,Yorkshire_and_The_Humber,112,0,0,2020-06-07,451306.1702025497
75+,Yorkshire_and_The_Humber,112,0,0,2020-06-07,366510.79003192694
1-4,Yorkshire_and_The_Humber,113,0,0,2020-06-08,503965.09670831857
5-14,Yorkshire_and_The_Humber,113,0,0,2020-06-08,145920.59651659982
15-24,Yorkshire_and_The_Humber,113,0,0,2020-06-08,1074440.3460863144
25-44,Yorkshire_and_The_Humber,113,0,0,2020-06-08,1109373.4794161317
45-64,Yorkshire_and_The_Humber,113,0,0,2020-06-08,510799.2358996739
65-74,Yorkshire_and_The_Humber,113,0,0,2020-06-08,451306.1702025497
75+,Yorkshire_and_The_Humber,113,0,0,2020-06-08,366510.79003192694
1-4,Yorkshire_and_The_Humber,114,0,0,2020-06-09,503965.09670831857
5-14,Yorkshire_and_The_Humber,114,0,0,2020-06-09,145920.59651659982
15-24,Yorkshire_and_The_Humber,114,0,0,2020-06-09,1074440.3460863144
25-44,Yorkshire_and_The_Humber,114,0,0,2020-06-09,1109373.4794161317
45-64,Yorkshire_and_The_Humber,114,0,0,2020-06-09,510799.2358996739
65-74,Yorkshire_and_The_Humber,114,0,0,2020-06-09,451306.1702025497
75+,Yorkshire_and_The_Humber,114,0,0,2020-06-09,366510.79003192694
1-4,Yorkshire_and_The_Humber,115,0,0,2020-06-10,503965.09670831857
5-14,Yorkshire_and_The_Humber,115,7.313884279982334,0.533046063200729,2020-06-10,145920.59651659982
15-24,Yorkshire_and_The_Humber,115,8.234449886031676,0.5004084973335778,2020-06-10,1074440.3460863144
25-44,Yorkshire_and_The_Humber,115,7.970409356697272,0.4737335703152703,2020-06-10,1109373.4794161317
45-64,Yorkshire_and_The_Humber,115,7.477572364394108,0.5137705981495579,2020-06-10,510799.2358996739
65-74,Yorkshire_and_The_Humber,115,7.163452999175109,0.3407539275975664,2020-06-10,451306.1702025497
75+,Yorkshire_and_The_Humber,115,7.723403745527293,0.3683096683547975,2020-06-10,366510.79003192694
1-4,Yorkshire_and_The_Humber,116,0,0,2020-06-11,503965.09670831857
5-14,Yorkshire_and_The_Humber,116,0,0,2020-06-11,145920.59651659982
15-24,Yorkshire_and_The_Humber,116,0,0,2020-06-11,1074440.3460863144
25-44,Yorkshire_and_The_Humber,116,0,0,2020-06-11,1109373.4794161317
45-64,Yorkshire_and_The_Humber,116,0,0,2020-06-11,510799.2358996739
65-74,Yorkshire_and_The_Humber,116,0,0,2020-06-11,451306.1702025497
75+,Yorkshire_and_The_Humber,116,0,0,2020-06-11,366510.79003192694
1-4,Yorkshire_and_The_Humber,117,0,0,2020-06-12,503965.09670831857
5-14,Yorkshire_and_The_Humber,117,0,0,2020-06-12,145920.59651659982
15-24,Yorkshire_and_The_Humber,117,0,0,2020-06-12,1074440.3460863144
25-44,Yorkshire_and_The_Humber,117,0,0,2020-06-12,1109373.4794161317
45-64,Yorkshire_and_The_Humber,117,0,0,2020-06-12,510799.2358996739
65-74,Yorkshire_and_The_Humber,117,0,0,2020-06-12,451306.1702025497
75+,Yorkshire_and_The_Humber,117,0,0,2020-06-12,366510.79003192694
1-4,Yorkshire_and_The_Humber,118,0,0,2020-06-13,503965.09670831857
5-14,Yorkshire_and_The_Humber,118,0,0,2020-06-13,145920.59651659982
15-24,Yorkshire_and_The_Humber,118,0,0,2020-06-13,1074440.3460863144
25-44,Yorkshire_and_The_Humber,118,0,0,2020-06-13,1109373.4794161317
45-64,Yorkshire_and_The_Humber,118,0,0,2020-06-13,510799.2358996739
65-74,Yorkshire_and_The_Humber,118,0,0,2020-06-13,451306.1702025497
75+,Yorkshire_and_The_Humber,118,0,0,2020-06-13,366510.79003192694
1-4,Yorkshire_and_The_Humber,119,0,0,2020-06-14,503965.09670831857
5-14,Yorkshire_and_The_Humber,119,0,0,2020-06-14,145920.59651659982
15-24,Yorkshire_and_The_Humber,119,0,0,2020-06-14,1074440.3460863144
25-44,Yorkshire_and_The_Humber,119,0,0,2020-06-14,1109373.4794161317
45-64,Yorkshire_and_The_Humber,119,0,0,2020-06-14,510799.2358996739
65-74,Yorkshire_and_The_Humber,119,0,0,2020-06-14,451306.1702025497
75+,Yorkshire_and_The_Humber,119,0,0,2020-06-14,366510.79003192694
1-4,Yorkshire_and_The_Humber,120,0,0,2020-06-15,503965.09670831857
5-14,Yorkshire_and_The_Humber,120,0,0,2020-06-15,145920.59651659982
15-24,Yorkshire_and_The_Humber,120,0,0,2020-06-15,1074440.3460863144
25-44,Yorkshire_and_The_Humber,120,0,0,2020-06-15,1109373.4794161317
45-64,Yorkshire_and_The_Humber,120,0,0,2020-06-15,510799.2358996739
65-74,Yorkshire_and_The_Humber,120,0,0,2020-06-15,451306.1702025497
75+,Yorkshire_and_The_Humber,120,0,0,2020-06-15,366510.79003192694
1-4,Yorkshire_and_The_Humber,121,0,0,2020-06-16,503965.09670831857
5-14,Yorkshire_and_The_Humber,121,0,0,2020-06-16,145920.59651659982
15-24,Yorkshire_and_The_Humber,121,0,0,2020-06-16,1074440.3460863144
25-44,Yorkshire_and_The_Humber,121,0,0,2020-06-16,1109373.4794161317
45-64,Yorkshire_and_The_Humber,121,0,0,2020-06-16,510799.2358996739
65-74,Yorkshire_and_The_Humber,121,0,0,2020-06-16,451306.1702025497
75+,Yorkshire_and_The_Humber,121,0,0,2020-06-16,366510.79003192694
1-4,Yorkshire_and_The_Humber,122,0,0,2020-06-17,503965.09670831857
5-14,Yorkshire_and_The_Humber,122,7.308327230941443,0.5317009314787536,2020-06-17,145920.59651659982
15-24,Yorkshire_and_The_Humber,122,8.172113467037612,0.5007606456134378,2020-06-17,1074440.3460863144
25-44,Yorkshire_and_The_Humber,122,7.914674551848432,0.4732525417695264,2020-06-17,1109373.4794161317
45-64,Yorkshire_and_The_Humber,122,7.4218233412037655,0.519698760778514,2020-06-17,510799.2358996739
65-74,Yorkshire_and_The_Humber,122,7.146703381921473,0.33897609549041774,2020-06-17,451306.1702025497
