age,region,day,lmean,lsd,sample_date
1-4,East_of_England,337,0,0,2021-01-18
1-4,East_of_England,338,0,0,2021-01-19
1-4,East_of_England,339,0,0,2021-01-20
1-4,East_of_England,340,0,0,2021-01-21
1-4,East_of_England,341,0,0,2021-01-22
1-4,East_of_England,342,0,0,2021-01-23
1-4,East_of_England,343,0,0,2021-01-24
1-4,East_of_England,344,0,0,2021-01-25
1-4,East_of_England,345,0,0,2021-01-26
1-4,East_of_England,346,0,0,2021-01-27
1-4,East_of_England,347,0,0,2021-01-28
1-4,East_of_England,348,0,0,2021-01-29
1-4,East_of_England,349,0,0,2021-01-30
1-4,East_of_England,350,0,0,2021-01-31
1-4,East_of_England,351,0,0,2021-02-01
1-4,East_of_England,352,0,0,2021-02-02
1-4,East_of_England,353,0,0,2021-02-03
1-4,East_of_England,354,0,0,2021-02-04
1-4,East_of_England,355,0,0,2021-02-05
1-4,East_of_England,356,0,0,2021-02-06
1-4,East_of_England,357,0,0,2021-02-07
1-4,East_of_England,358,0,0,2021-02-08
1-4,East_of_England,359,0,0,2021-02-09
1-4,East_of_England,360,0,0,2021-02-10
1-4,East_of_England,361,0,0,2021-02-11
1-4,East_of_England,362,0,0,2021-02-12
1-4,East_of_England,363,0,0,2021-02-13
1-4,East_of_England,364,0,0,2021-02-14
1-4,East_of_England,365,0,0,2021-02-15
1-4,East_of_England,366,0,0,2021-02-16
1-4,East_of_England,367,0,0,2021-02-17
1-4,East_of_England,368,0,0,2021-02-18
1-4,East_of_England,369,0,0,2021-02-19
1-4,East_of_England,370,0,0,2021-02-20
1-4,East_of_England,371,0,0,2021-02-21
1-4,East_of_England,372,0,0,2021-02-22
1-4,East_of_England,373,0,0,2021-02-23
1-4,East_of_England,374,0,0,2021-02-24
1-4,East_of_England,375,0,0,2021-02-25
1-4,East_of_England,376,0,0,2021-02-26
1-4,East_of_England,377,0,0,2021-02-27
1-4,East_of_England,378,0,0,2021-02-28
1-4,East_of_England,379,0,0,2021-03-01
1-4,East_of_England,380,0,0,2021-03-02
1-4,East_of_England,381,0,0,2021-03-03
1-4,East_of_England,382,0,0,2021-03-04
1-4,East_of_England,383,0,0,2021-03-05
1-4,East_of_England,384,0,0,2021-03-06
1-4,East_of_England,385,0,0,2021-03-07
1-4,East_of_England,386,0,0,2021-03-08
1-4,East_of_England,387,0,0,2021-03-09
1-4,East_of_England,388,0,0,2021-03-10
1-4,East_of_England,389,0,0,2021-03-11
1-4,East_of_England,390,0,0,2021-03-12
1-4,East_Midlands,337,0,0,2021-01-18
1-4,East_Midlands,338,0,0,2021-01-19
1-4,East_Midlands,339,0,0,2021-01-20
1-4,East_Midlands,340,0,0,2021-01-21
1-4,East_Midlands,341,0,0,2021-01-22
1-4,East_Midlands,342,0,0,2021-01-23
1-4,East_Midlands,343,0,0,2021-01-24
1-4,East_Midlands,344,0,0,2021-01-25
1-4,East_Midlands,345,0,0,2021-01-26
1-4,East_Midlands,346,0,0,2021-01-27
1-4,East_Midlands,347,0,0,2021-01-28
1-4,East_Midlands,348,0,0,2021-01-29
1-4,East_Midlands,349,0,0,2021-01-30
1-4,East_Midlands,350,0,0,2021-01-31
1-4,East_Midlands,351,0,0,2021-02-01
1-4,East_Midlands,352,0,0,2021-02-02
1-4,East_Midlands,353,0,0,2021-02-03
1-4,East_Midlands,354,0,0,2021-02-04
1-4,East_Midlands,355,0,0,2021-02-05
1-4,East_Midlands,356,0,0,2021-02-06
1-4,East_Midlands,357,0,0,2021-02-07
1-4,East_Midlands,358,0,0,2021-02-08
1-4,East_Midlands,359,0,0,2021-02-09
1-4,East_Midlands,360,0,0,2021-02-10
1-4,East_Midlands,361,0,0,2021-02-11
1-4,East_Midlands,362,0,0,2021-02-12
1-4,East_Midlands,363,0,0,2021-02-13
1-4,East_Midlands,364,0,0,2021-02-14
1-4,East_Midlands,365,0,0,2021-02-15
1-4,East_Midlands,366,0,0,2021-02-16
1-4,East_Midlands,367,0,0,2021-02-17
1-4,East_Midlands,368,0,0,2021-02-18
1-4,East_Midlands,369,0,0,2021-02-19
1-4,East_Midlands,370,0,0,2021-02-20
1-4,East_Midlands,371,0,0,2021-02-21
1-4,East_Midlands,372,0,0,2021-02-22
1-4,East_Midlands,373,0,0,2021-02-23
1-4,East_Midlands,374,0,0,2021-02-24
1-4,East_Midlands,375,0,0,2021-02-25
1-4,East_Midlands,376,0,0,2021-02-26
1-4,East_Midlands,377,0,0,2021-02-27
1-4,East_Midlands,378,0,0,2021-02-28
1-4,East_Midlands,379,0,0,2021-03-01
1-4,East_Midlands,380,0,0,2021-03-02
1-4,East_Midlands,381,0,0,2021-03-03
1-4,East_Midlands,382,0,0,2021-03-04
1-4,East_Midlands,383,0,0,2021-03-05
1-4,East_Midlands,384,0,0,2021-03-06
1-4,East_Midlands,385,0,0,2021-03-07
1-4,East_Midlands,386,0,0,2021-03-08
1-4,East_Midlands,387,0,0,2021-03-09
1-4,East_Midlands,388,0,0,2021-03-10
1-4,East_Midlands,389,0,0,2021-03-11
1-4,East_Midlands,390,0,0,2021-03-12
1-4,London,337,0,0,2021-01-18
1-4,London,338,0,0,2021-01-19
1-4,London,339,0,0,2021-01-20
1-4,London,340,0,0,2021-01-21
1-4,London,341,0,0,2021-01-22
1-4,London,342,0,0,2021-01-23
1-4,London,343,0,0,2021-01-24
1-4,London,344,0,0,2021-01-25
1-4,London,345,0,0,2021-01-26
1-4,London,346,0,0,2021-01-27
1-4,London,347,0,0,2021-01-28
1-4,London,348,0,0,2021-01-29
1-4,London,349,0,0,2021-01-30
1-4,London,350,0,0,2021-01-31
1-4,London,351,0,0,2021-02-01
