age,region,day,lmean,lsd,sample_date
1-4,West_Midlands,221,0,0,2020-09-24
1-4,West_Midlands,222,0,0,2020-09-25
1-4,West_Midlands,223,0,0,2020-09-26
1-4,West_Midlands,224,0,0,2020-09-27
1-4,West_Midlands,225,0,0,2020-09-28
1-4,West_Midlands,226,0,0,2020-09-29
1-4,West_Midlands,227,0,0,2020-09-30
1-4,West_Midlands,228,0,0,2020-10-01
1-4,West_Midlands,229,0,0,2020-10-02
1-4,West_Midlands,230,0,0,2020-10-03
1-4,West_Midlands,231,0,0,2020-10-04
1-4,West_Midlands,232,0,0,2020-10-05
1-4,West_Midlands,233,0,0,2020-10-06
1-4,West_Midlands,234,0,0,2020-10-07
1-4,West_Midlands,235,0,0,2020-10-08
1-4,West_Midlands,236,0,0,2020-10-09
1-4,West_Midlands,237,0,0,2020-10-10
1-4,West_Midlands,238,0,0,2020-10-11
1-4,West_Midlands,239,0,0,2020-10-12
1-4,West_Midlands,240,0,0,2020-10-13
1-4,West_Midlands,241,0,0,2020-10-14
1-4,West_Midlands,242,0,0,2020-10-15
1-4,West_Midlands,243,0,0,2020-10-16
1-4,West_Midlands,244,0,0,2020-10-17
1-4,West_Midlands,245,0,0,2020-10-18
1-4,West_Midlands,246,0,0,2020-10-19
1-4,West_Midlands,247,0,0,2020-10-20
1-4,West_Midlands,248,0,0,2020-10-21
1-4,West_Midlands,249,0,0,2020-10-22
1-4,West_Midlands,250,0,0,2020-10-23
1-4,West_Midlands,251,0,0,2020-10-24
1-4,West_Midlands,252,0,0,2020-10-25
1-4,West_Midlands,253,0,0,2020-10-26
1-4,West_Midlands,254,0,0,2020-10-27
1-4,West_Midlands,255,0,0,2020-10-28
1-4,West_Midlands,256,0,0,2020-10-29
1-4,West_Midlands,257,0,0,2020-10-30
1-4,West_Midlands,258,0,0,2020-10-31
1-4,West_Midlands,259,0,0,2020-11-01
1-4,West_Midlands,260,0,0,2020-11-02
1-4,West_Midlands,261,0,0,2020-11-03
1-4,West_Midlands,262,0,0,2020-11-04
1-4,West_Midlands,263,0,0,2020-11-05
1-4,West_Midlands,264,0,0,2020-11-06
1-4,West_Midlands,265,0,0,2020-11-07
1-4,West_Midlands,266,0,0,2020-11-08
1-4,West_Midlands,267,0,0,2020-11-09
1-4,West_Midlands,268,0,0,2020-11-10
1-4,West_Midlands,269,0,0,2020-11-11
1-4,West_Midlands,270,0,0,2020-11-12
1-4,West_Midlands,271,0,0,2020-11-13
1-4,West_Midlands,272,0,0,2020-11-14
1-4,West_Midlands,273,0,0,2020-11-15
1-4,West_Midlands,274,0,0,2020-11-16
1-4,West_Midlands,275,0,0,2020-11-17
1-4,West_Midlands,276,0,0,2020-11-18
1-4,West_Midlands,277,0,0,2020-11-19
1-4,West_Midlands,278,0,0,2020-11-20
1-4,West_Midlands,279,0,0,2020-11-21
1-4,West_Midlands,280,0,0,2020-11-22
1-4,West_Midlands,281,0,0,2020-11-23
1-4,West_Midlands,282,0,0,2020-11-24
1-4,West_Midlands,283,0,0,2020-11-25
1-4,West_Midlands,284,0,0,2020-11-26
1-4,Yorkshire_and_The_Humber,218,0,0,2020-09-21
1-4,Yorkshire_and_The_Humber,219,0,0,2020-09-22
1-4,Yorkshire_and_The_Humber,220,0,0,2020-09-23
1-4,Yorkshire_and_The_Humber,221,0,0,2020-09-24
1-4,Yorkshire_and_The_Humber,222,0,0,2020-09-25
1-4,Yorkshire_and_The_Humber,223,0,0,2020-09-26
1-4,Yorkshire_and_The_Humber,224,0,0,2020-09-27
1-4,Yorkshire_and_The_Humber,225,0,0,2020-09-28
1-4,Yorkshire_and_The_Humber,226,0,0,2020-09-29
1-4,Yorkshire_and_The_Humber,227,0,0,2020-09-30
1-4,Yorkshire_and_The_Humber,228,0,0,2020-10-01
1-4,Yorkshire_and_The_Humber,229,0,0,2020-10-02
1-4,Yorkshire_and_The_Humber,230,0,0,2020-10-03
