2020-02-17	0	0	0	0	0	0	0	0
2020-02-18	0	0	0	0	0	0	0	0
2020-02-19	0	0	0	0	0	0	0	0
2020-02-20	0	0	0	0	0	0	0	0
2020-02-21	0	0	0	0	0	0	0	0
2020-02-22	0	0	0	0	0	0	0	0
2020-02-23	0	0	0	0	0	0	0	0
2020-02-24	0	0	0	0	0	0	0	0
2020-02-25	0	0	0	0	0	0	0	0
2020-02-26	0	0	0	0	0	0	0	0
2020-02-27	0	0	0	0	0	0	0	0
2020-02-28	0	0	0	0	0	0	0	0
2020-02-29	0	0	0	0	0	0	0	0
2020-03-01	0	0	0	0	0	0	0	0
2020-03-02	0	0	0	0	0	0	0	0
2020-03-03	0	0	0	0	0	0	0	1
2020-03-04	0	0	0	0	0	0	0	0
2020-03-05	0	0	0	0	0	0	0	2
2020-03-06	0	0	0	0	0	0	0	0
2020-03-07	0	0	0	0	0	0	0	0
2020-03-08	0	0	0	0	0	0	0	1
2020-03-09	0	0	0	0	0	0	0	1
2020-03-10	0	0	0	0	0	0	0	1
2020-03-11	0	0	0	0	1	0	0	0
2020-03-12	0	0	0	0	0	0	0	0
2020-03-13	0	0	0	0	0	0	1	1
2020-03-14	0	0	0	0	0	0	0	3
2020-03-15	0	0	0	0	0	0	2	5
2020-03-16	0	0	0	0	0	0	2	6
2020-03-17	0	0	0	0	0	1	1	6
2020-03-18	0	0	0	0	0	1	3	9
2020-03-19	0	0	0	1	0	1	0	6
2020-03-20	0	0	0	0	0	2	5	8
2020-03-21	0	0	0	0	0	1	3	10
2020-03-22	0	0	0	0	0	2	4	22
2020-03-23	0	0	0	0	0	3	4	17
2020-03-24	0	0	0	0	0	1	6	23
2020-03-25	0	0	0	0	2	3	6	29
2020-03-26	0	0	0	0	1	3	9	31
2020-03-27	0	0	0	1	0	5	7	34
2020-03-28	0	0	0	0	0	3	5	30
2020-03-29	0	0	0	0	1	7	15	39
2020-03-30	0	0	0	0	2	11	9	46
2020-03-31	0	0	1	0	2	7	12	47
2020-04-01	0	0	0	0	3	10	13	59
2020-04-02	0	0	0	0	2	9	15	54
2020-04-03	0	0	0	0	0	11	17	55
2020-04-04	0	0	0	0	0	12	13	89
2020-04-05	0	0	0	0	0	14	11	79
2020-04-06	0	0	0	0	1	9	16	79
2020-04-07	0	0	0	1	1	10	25	81
2020-04-08	0	0	0	0	3	16	15	78
2020-04-09	0	0	0	0	4	10	22	92
2020-04-10	0	0	0	0	0	10	22	78
2020-04-11	0	0	0	1	3	13	15	78
2020-04-12	0	0	0	0	1	12	18	86
2020-04-13	0	0	0	0	1	15	21	67
2020-04-14	0	0	0	0	0	8	24	63
2020-04-15	0	0	0	0	0	9	20	64
2020-04-16	0	0	0	0	0	13	14	59
2020-04-17	0	0	0	0	2	11	14	82
2020-04-18	0	0	0	0	2	4	7	66
2020-04-19	0	0	0	0	1	7	11	87
2020-04-20	0	0	0	0	0	16	12	88
2020-04-21	0	0	0	0	1	6	10	75
2020-04-22	0	0	0	0	2	15	15	53
2020-04-23	0	0	0	0	2	9	10	70
2020-04-24	0	1	0	0	2	6	16	68
2020-04-25	0	0	0	0	0	10	13	69
2020-04-26	0	0	0	0	1	3	7	68
2020-04-27	0	0	0	0	0	5	8	48
2020-04-28	0	0	0	0	0	6	9	54
2020-04-29	0	0	0	0	2	2	14	55
2020-04-30	0	0	0	0	1	4	12	37
2020-05-01	0	0	0	0	0	9	6	68
2020-05-02	0	0	0	0	0	9	8	40
2020-05-03	0	0	0	0	0	2	5	34
2020-05-04	0	0	0	0	1	4	7	49
2020-05-05	0	0	0	0	0	5	5	44
2020-05-06	0	0	0	0	0	5	6	37
2020-05-07	0	0	0	0	0	5	5	41
2020-05-08	0	0	0	0	1	1	6	38
2020-05-09	0	0	0	0	0	3	10	48
2020-05-10	0	0	0	0	0	2	4	35
2020-05-11	0	0	0	0	0	5	7	35
2020-05-12	0	0	0	0	1	8	6	38
2020-05-13	0	0	0	0	0	3	6	35
2020-05-14	0	0	0	0	1	2	3	53
2020-05-15	0	0	0	0	0	2	6	37
2020-05-16	0	0	0	0	0	4	6	33
2020-05-17	0	0	0	0	0	0	5	35
2020-05-18	0	0	0	0	0	1	6	32
2020-05-19	0	0	0	0	1	1	3	29
2020-05-20	0	0	0	0	0	4	4	41
2020-05-21	0	0	0	0	0	0	2	21
2020-05-22	0	0	0	0	0	2	4	43
2020-05-23	0	0	0	0	0	2	3	34
2020-05-24	0	0	0	0	0	2	3	24
2020-05-25	0	0	0	0	0	1	3	17
2020-05-26	0	0	0	0	0	2	5	32
2020-05-27	0	0	0	0	0	3	7	23
2020-05-28	0	0	0	0	1	3	3	24
2020-05-29	0	0	0	0	0	5	3	25
2020-05-30	0	0	0	0	1	1	3	24
2020-05-31	0	0	0	0	0	0	2	22
2020-06-01	0	0	0	0	0	4	2	23
2020-06-02	0	0	0	0	1	3	6	22
2020-06-03	0	0	0	0	0	1	5	18
2020-06-04	0	0	0	0	0	2	2	22
2020-06-05	0	0	0	0	0	1	6	17
2020-06-06	0	0	0	0	2	1	2	14
2020-06-07	0	0	0	0	0	1	3	14
2020-06-08	0	0	0	0	0	2	2	11
2020-06-09	0	0	1	0	0	1	3	20
2020-06-10	0	0	0	0	0	0	3	21
2020-06-11	0	0	0	0	0	1	2	11
2020-06-12	0	0	0	0	0	0	2	10
2020-06-13	0	0	0	0	0	0	2	17
2020-06-14	0	0	0	0	0	0	3	9
2020-06-15	0	0	0	0	0	0	3	11
2020-06-16	0	0	0	0	0	4	0	15
2020-06-17	0	0	0	0	0	0	3	13
2020-06-18	0	0	0	0	0	1	0	8
2020-06-19	0	0	0	0	0	1	2	13
2020-06-20	0	0	0	0	0	0	3	5
2020-06-21	0	0	0	0	0	0	2	11
2020-06-22	0	0	0	0	0	0	0	11
2020-06-23	0	0	0	0	0	3	3	5
2020-06-24	0	0	0	0	0	0	1	14
2020-06-25	0	0	0	0	0	2	1	9
2020-06-26	0	0	0	0	0	0	1	12
2020-06-27	0	0	0	0	0	0	0	14
2020-06-28	0	0	0	0	0	0	1	10
2020-06-29	0	0	0	0	0	0	3	8
2020-06-30	0	0	0	0	0	1	2	8
2020-07-01	0	0	0	0	0	0	1	7
2020-07-02	0	0	0	0	1	1	1	4
2020-07-03	0	0	0	0	0	0	1	6
2020-07-04	0	0	0	0	0	2	1	12
2020-07-05	0	0	0	0	0	1	0	4
2020-07-06	0	0	0	0	0	0	2	8
2020-07-07	0	0	0	0	0	2	1	4
2020-07-08	0	0	0	0	0	0	1	5
2020-07-09	0	0	0	0	0	0	3	6
2020-07-10	0	0	0	0	0	1	0	7
2020-07-11	0	0	0	0	0	1	0	7
2020-07-12	0	0	0	0	0	0	1	5
2020-07-13	0	0	0	0	0	0	2	5
2020-07-14	0	0	0	0	0	0	0	9
2020-07-15	0	0	0	0	0	0	0	9
2020-07-16	0	0	0	0	0	0	0	5
2020-07-17	0	0	0	0	0	0	1	3
2020-07-18	0	0	0	0	0	0	0	6
2020-07-19	0	0	0	0	0	0	0	6
2020-07-20	0	0	0	0	0	0	0	8
2020-07-21	0	0	0	0	0	0	0	6
2020-07-22	0	0	0	0	0	0	0	2
2020-07-23	0	0	0	0	0	0	1	5
2020-07-24	0	0	0	0	0	0	0	2
2020-07-25	0	0	0	0	0	0	0	3
2020-07-26	0	0	0	0	0	1	1	4
2020-07-27	0	0	0	0	0	0	0	2
2020-07-28	0	0	0	0	1	0	0	5
2020-07-29	0	0	0	0	0	0	0	4
2020-07-30	0	0	0	0	0	0	1	0
2020-07-31	0	0	0	0	0	1	0	6
2020-08-01	0	0	0	0	0	0	1	1
